SpPair,StudyID,LocationID,Common1,Scientific1,FocalSp,Common2,Scientific2,ITSp,FirstYear,LastYear,Latitude,Longitude,Notes,spsp
36,100,46,Summer Tanager,Piranga rubra,6100,Scarlet Tanager,Piranga olivacea,6080,1978,1982,38.351273,87.823652,,60806100
36,100,54,Summer Tanager,Piranga rubra,6100,Scarlet Tanager,Piranga olivacea,6080,1978,1982,39.123002,83.397729,,60806100
36,100,61,Summer Tanager,Piranga rubra,6100,Scarlet Tanager,Piranga olivacea,6080,1978,1982,39.406559,84.089365,,60806100
37,111,146,McKays Bunting,Plectrophenax hyperboreus,5350,Snow Bunting,Plectrophenax nivalis,5340,1982,1982,60.418577,172.76214,,53405350
37,96,147,McKays Bunting,Plectrophenax hyperboreus,5350,Snow Bunting,Plectrophenax nivalis,5340,1966,1967,63.776835,171.688996,,53405350
38,89,44,Carolina Chickadee,Poecile carolinensis,7360,Black-Capped Chickadee,Poecile atricapillus,7350,1975,1978,38.071136,94.038734,,73507360
38,5,50,Carolina Chickadee,Poecile carolinensis,7360,Black-Capped Chickadee,Poecile atricapillus,7350,1958,1958,38.950636,89.092008,,73507360
39,1,1,California Gnatcatcher,Polioptila californica,7530,Black-tailed Gnatcatcher,Polioptila melanura,7520,1982,1985,29.52,114.3402778,,75207530
39,1,1,California Gnatcatcher,Polioptila californica,7530,Black-tailed Gnatcatcher,Polioptila melanura,7539,1982,1985,29.52,114.3402778,duplicated because there are two AOU codes for sp. 2,75307539
40,31,16,Bushtit,Psaltriparus minimus,7430,Black-throated Gray Warbler,Setophaga nigrescens,6650,1984,1986,31.881122,109.231879,,66507430
41,97,2,Boat-tailed Grackles,Quiscalus major,5130,Great-tailed Grackle,Quiscalus mexicanus,5120,1959,1959,29.72777778,93.87083333,,51205130
41,97,4,Boat-tailed Grackles,Quiscalus major,5130,Great-tailed Grackle,Quiscalus mexicanus,5120,1960,1960,30.01027778,93.85805556,,51205130
41,97,5,Boat-tailed Grackles,Quiscalus major,5130,Great-tailed Grackle,Quiscalus mexicanus,5120,1959,1959,30.10666667,93.77305556,,51205130
41,97,6,Boat-tailed Grackles,Quiscalus major,5130,Great-tailed Grackle,Quiscalus mexicanus,5120,1959,1960,30.20972222,93.54583333,,51205130
42,58,100,Northern Parula,Setophaga americana,6480,Golden-crowned Kinglet,Regulus satrapa,7480,1962,1966,43.96722,69.42611,,64807480
